"ordem_preliminar","arquivo","largura","altura","tamanho_mb","caminho"
"001","gerada-001-ig_0b34d5ba8032f2430169fd0bda89048190b43dc71b2069ac3e.png","1003","1568","2,53","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-001-ig_0b34d5ba8032f2430169fd0bda89048190b43dc71b2069ac3e.png"
"002","gerada-002-ig_0b34d5ba8032f2430169fd15b3b7c88190adf2895d38a15cb8.png","1672","941","1,69","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-002-ig_0b34d5ba8032f2430169fd15b3b7c88190adf2895d38a15cb8.png"
"003","gerada-003-ig_0241e8b950713a930169fd3fad58a481998227aed7060509c8.png","1672","941","1,92","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-003-ig_0241e8b950713a930169fd3fad58a481998227aed7060509c8.png"
"004","gerada-004-ig_0241e8b950713a930169fd40bc7cbc8199bf3edd7d893e94e1.png","1672","941","1,76","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-004-ig_0241e8b950713a930169fd40bc7cbc8199bf3edd7d893e94e1.png"
"005","gerada-005-ig_0241e8b950713a930169fd412f14e48199b210f0afd528b8dd.png","1672","941","1,9","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-005-ig_0241e8b950713a930169fd412f14e48199b210f0afd528b8dd.png"
"006","gerada-006-ig_0241e8b950713a930169fd41b00fc88199a3bb66fe8519d018.png","1672","941","1,8","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-006-ig_0241e8b950713a930169fd41b00fc88199a3bb66fe8519d018.png"
"007","gerada-007-ig_0241e8b950713a930169fd422b9df48199adf8d1718306ec5b.png","1672","941","1,42","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-007-ig_0241e8b950713a930169fd422b9df48199adf8d1718306ec5b.png"
"008","gerada-008-ig_0241e8b950713a930169fd42a58ba48199bded78c0a3d5b6e7.png","1672","941","1,36","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-008-ig_0241e8b950713a930169fd42a58ba48199bded78c0a3d5b6e7.png"
"009","gerada-009-ig_0241e8b950713a930169fd431fc27c8199bcb5f5f2372c5554.png","1672","941","1,76","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-009-ig_0241e8b950713a930169fd431fc27c8199bcb5f5f2372c5554.png"
"010","gerada-010-ig_0241e8b950713a930169fd444483f48199b27346fe6eab0f78.png","1672","941","1,92","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-010-ig_0241e8b950713a930169fd444483f48199b27346fe6eab0f78.png"
"011","gerada-011-ig_0241e8b950713a930169fd44b924808199a15b3643fa247ec0.png","1672","941","1,85","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-011-ig_0241e8b950713a930169fd44b924808199a15b3643fa247ec0.png"
"012","gerada-012-ig_0241e8b950713a930169fd45398d7c8199998c95a390dde2e8.png","1672","941","1,77","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-012-ig_0241e8b950713a930169fd45398d7c8199998c95a390dde2e8.png"
"013","gerada-013-ig_0241e8b950713a930169fd458b3d1881999dfdeaf49ada45b6.png","1672","941","2,01","C:\Users\BRANDING B. LIVING\brandbook-toolkit\01-Brandbook\paginas-curadas\01-sequencia-preliminar\gerada-013-ig_0241e8b950713a930169fd458b3d1881999dfdeaf49ada45b6.png"
